shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
shape_6,18.5765,73.6882,1
shape_6,18.58101,73.68765,2
shape_6,18.58101,73.68765,3
shape_6,18.58288,73.69004,4
shape_6,18.58288,73.69004,5
shape_6,18.58424,73.69357,6
shape_6,18.58424,73.69357,7
shape_6,18.58471,73.69592,8
shape_6,18.58471,73.69592,9
shape_6,18.58685,73.70013,10
shape_6,18.58685,73.70013,11
shape_6,18.58898,73.70502,12
shape_6,18.58898,73.70502,13
shape_6,18.59323,73.70772,14
shape_6,18.59323,73.70772,15
shape_6,18.59596,73.71285,16
shape_6,18.59596,73.71285,17
shape_6,18.59676,73.71778,18
shape_6,18.59676,73.71778,19
shape_6,18.59449,73.72803,20
shape_6,18.59449,73.72803,21
shape_6,18.59404,73.73196,22
shape_6,18.59404,73.73196,23
shape_6,18.59396,73.7344,24
shape_6,18.59396,73.7344,25
shape_6,18.59127,73.73919,26
shape_6,18.59127,73.73919,27
shape_6,18.59121,73.74444,28
shape_6,18.59121,73.74444,29
shape_6,18.59097,73.7496,30
shape_6,18.59097,73.7496,31
shape_6,18.59201,73.75459,32
shape_6,18.59201,73.75459,33
shape_6,18.59251,73.7618,34
shape_6,18.59251,73.7618,35
shape_6,18.59017,73.76965,36
shape_6,18.59017,73.76965,37
shape_6,18.5896,73.77423,38
shape_6,18.5896,73.77423,39
shape_6,18.5887,73.7805,40
shape_6,18.5887,73.7805,41
shape_6,18.5883,73.7842,42
shape_6,18.5883,73.7842,43
shape_6,18.58655,73.78095,44
shape_6,18.58655,73.78095,45
shape_6,18.5825,73.7834,46
shape_6,18.5825,73.7834,47
shape_6,18.5817,73.784,48
shape_6,18.5817,73.784,49
shape_6,18.5792,73.786,50
shape_6,18.5792,73.786,51
shape_6,18.57729,73.78761,52
shape_6,18.57729,73.78761,53
shape_6,18.57555,73.78915,54
shape_6,18.57555,73.78915,55
shape_6,18.5717,73.79063,56
shape_6,18.5717,73.79063,57
shape_6,18.57169,73.79408,58
shape_6,18.57169,73.79408,59
shape_6,18.57414,73.79536,60
shape_6,18.57414,73.79536,61
shape_6,18.57921,73.796,62
shape_6,18.57921,73.796,63
shape_6,18.58121,73.79875,64
shape_6,18.58121,73.79875,65
shape_6,18.5769,73.8032,66
shape_6,18.5769,73.8032,67
shape_6,18.57279,73.80696,68
shape_6,18.57279,73.80696,69
shape_6,18.56647,73.81194,70
shape_6,18.56647,73.81194,71
shape_6,18.56324,73.8133,72
shape_6,18.56324,73.8133,73
shape_6,18.5591,73.8157,74
shape_6,18.5591,73.8157,75
shape_6,18.55624,73.81818,76
shape_6,18.55624,73.81818,77
shape_6,18.5551,73.819,78
shape_6,18.5551,73.819,79
shape_6,18.5512,73.8218,80
shape_6,18.5512,73.8218,81
shape_6,18.5483,73.8239,82
shape_6,18.5483,73.8239,83
shape_6,18.5447,73.8265,84
shape_6,18.5447,73.8265,85
shape_6,18.54357,73.8271,86
shape_6,18.54357,73.8271,87
shape_6,18.5377,73.8353,88
shape_6,18.5377,73.8353,89
shape_6,18.53482,73.83894,90
shape_6,18.53482,73.83894,91
shape_6,18.53251,73.84234,92
shape_6,18.53251,73.84234,93
shape_6,18.53094,73.8472,94
shape_6,18.53094,73.8472,95
shape_6,18.5263,73.8505,96
shape_6,18.5263,73.8505,97
shape_6,18.52457,73.84933,98
shape_6,18.52457,73.84933,99
shape_6,18.52225,73.85017,100
shape_6,18.52225,73.85017,101
shape_6,18.52362,73.85506,102
shape_7,18.52363,73.85529,1
shape_7,18.5264,73.8526,2
shape_7,18.5264,73.8526,3
shape_7,18.53026,73.84924,4
shape_7,18.53026,73.84924,5
shape_7,18.53215,73.84267,6
shape_7,18.53215,73.84267,7
shape_7,18.53484,73.83871,8
shape_7,18.53484,73.83871,9
shape_7,18.5366,73.8363,10
shape_7,18.5366,73.8363,11
shape_7,18.5377,73.8349,12
shape_7,18.5377,73.8349,13
shape_7,18.54357,73.8271,14
shape_7,18.54357,73.8271,15
shape_7,18.5482,73.8237,16
shape_7,18.5482,73.8237,17
shape_7,18.5511,73.8216,18
shape_7,18.5511,73.8216,19
shape_7,18.555,73.8188,20
shape_7,18.555,73.8188,21
shape_7,18.5591,73.8158,22
shape_7,18.5591,73.8158,23
shape_7,18.5591,73.8157,24
shape_7,18.5591,73.8157,25
shape_7,18.5633,73.81317,26
shape_7,18.5633,73.81317,27
shape_7,18.56574,73.81215,28
shape_7,18.56574,73.81215,29
shape_7,18.57279,73.80696,30
shape_7,18.57279,73.80696,31
shape_7,18.5769,73.8032,32
shape_7,18.5769,73.8032,33
shape_7,18.58121,73.79875,34
shape_7,18.58121,73.79875,35
shape_7,18.57921,73.796,36
shape_7,18.57921,73.796,37
shape_7,18.5741,73.7954,38
shape_7,18.5741,73.7954,39
shape_7,18.57169,73.79408,40
shape_7,18.57169,73.79408,41
shape_7,18.57355,73.78989,42
shape_7,18.57355,73.78989,43
shape_7,18.57558,73.78902,44
shape_7,18.57558,73.78902,45
shape_7,18.57734,73.78742,46
shape_7,18.57734,73.78742,47
shape_7,18.5791,73.7858,48
shape_7,18.5791,73.7858,49
shape_7,18.5815,73.784,50
shape_7,18.5815,73.784,51
