route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
13,WEEKDAY,trip_13_0,Kothrud Depot,1,shape_13
10,WEEKDAY,trip_10_0,Katraj,0,shape_10
12,WEEKDAY,trip_12_0,Kothrud Depot,1,shape_12
11,WEEKDAY,trip_11_0,Katraj,0,shape_11
13,WEEKDAY,trip_13_1,Kothrud Depot,1,shape_13
10,WEEKDAY,trip_10_1,Katraj,0,shape_10
13,WEEKDAY,trip_13_2,Kothrud Depot,1,shape_13
10,WEEKDAY,trip_10_2,Katraj,0,shape_10
13,WEEKDAY,trip_13_3,Kothrud Depot,1,shape_13
10,WEEKDAY,trip_10_3,Katraj,0,shape_10
13,WEEKDAY,trip_13_4,Kothrud Depot,1,shape_13
12,WEEKDAY,trip_12_1,Kothrud Depot,1,shape_12
10,WEEKDAY,trip_10_4,Katraj,0,shape_10
13,WEEKDAY,trip_13_5,Kothrud Depot,1,shape_13
10,WEEKDAY,trip_10_5,Katraj,0,shape_10
13,WEEKDAY,trip_13_6,Kothrud Depot,1,shape_13
10,WEEKDAY,trip_10_6,Katraj,0,shape_10
13,WEEKDAY,trip_13_7,Kothrud Depot,1,shape_13
10,WEEKDAY,trip_10_7,Katraj,0,shape_10
13,WEEKDAY,trip_13_8,Kothrud Depot,1,shape_13
10,WEEKDAY,trip_10_8,Katraj,0,shape_10
13,WEEKDAY,trip_13_9,Kothrud Depot,1,shape_13
10,WEEKDAY,trip_10_9,Katraj,0,shape_10
13,WEEKDAY,trip_13_10,Kothrud Depot,1,shape_13
10,WEEKDAY,trip_10_10,Katraj,0,shape_10
13,WEEKDAY,trip_13_11,Kothrud Depot,1,shape_13
10,WEEKDAY,trip_10_11,Katraj,0,shape_10
13,WEEKDAY,trip_13_12,Kothrud Depot,1,shape_13
13,WEEKDAY,trip_13_13,Kothrud Depot,1,shape_13
10,WEEKDAY,trip_10_12,Katraj,0,shape_10
13,WEEKDAY,trip_13_14,Kothrud Depot,1,shape_13
10,WEEKDAY,trip_10_13,Katraj,0,shape_10
13,WEEKDAY,trip_13_15,Kothrud Depot,1,shape_13
10,WEEKDAY,trip_10_14,Katraj,0,shape_10
13,WEEKDAY,trip_13_16,Kothrud Depot,1,shape_13
11,WEEKDAY,trip_11_1,Katraj,0,shape_11
10,WEEKDAY,trip_10_15,Katraj,0,shape_10
13,WEEKDAY,trip_13_17,Kothrud Depot,1,shape_13
10,WEEKDAY,trip_10_16,Katraj,0,shape_10
13,WEEKDAY,trip_13_18,Kothrud Depot,1,shape_13
10,WEEKDAY,trip_10_17,Katraj,0,shape_10
13,WEEKDAY,trip_13_19,Kothrud Depot,1,shape_13
10,WEEKDAY,trip_10_18,Katraj,0,shape_10
13,WEEKDAY,trip_13_20,Kothrud Depot,1,shape_13
10,WEEKDAY,trip_10_19,Katraj,0,shape_10
13,WEEKDAY,trip_13_21,Kothrud Depot,1,shape_13
10,WEEKDAY,trip_10_20,Katraj,0,shape_10
13,WEEKDAY,trip_13_22,Kothrud Depot,1,shape_13
10,WEEKDAY,trip_10_21,Katraj,0,shape_10
13,WEEKDAY,trip_13_23,Kothrud Depot,1,shape_13
10,WEEKDAY,trip_10_22,Katraj,0,shape_10
13,WEEKDAY,trip_13_24,Kothrud Depot,1,shape_13
10,WEEKDAY,trip_10_23,Katraj,0,shape_10
13,WEEKDAY,trip_13_25,Kothrud Depot,1,shape_13
10,WEEKDAY,trip_10_24,Katraj,0,shape_10
13,WEEKDAY,trip_13_26,Kothrud Depot,1,shape_13
10,WEEKDAY,trip_10_25,Katraj,0,shape_10
13,WEEKDAY,trip_13_27,Kothrud Depot,1,shape_13
10,WEEKDAY,trip_10_26,Katraj,0,shape_10
13,WEEKDAY,trip_13_28,Kothrud Depot,1,shape_13
13,WEEKDAY,trip_13_29,Kothrud Depot,1,shape_13
10,WEEKDAY,trip_10_27,Katraj,0,shape_10
13,WEEKDAY,trip_13_30,Kothrud Depot,1,shape_13
10,WEEKDAY,trip_10_28,Katraj,0,shape_10
13,WEEKDAY,trip_13_31,Kothrud Depot,1,shape_13
10,WEEKDAY,trip_10_29,Katraj,0,shape_10
13,WEEKDAY,trip_13_32,Kothrud Depot,1,shape_13
10,WEEKDAY,trip_10_30,Katraj,0,shape_10
13,WEEKDAY,trip_13_33,Kothrud Depot,1,shape_13
10,WEEKDAY,trip_10_31,Katraj,0,shape_10
13,WEEKDAY,trip_13_34,Kothrud Depot,1,shape_13
10,WEEKDAY,trip_10_32,Katraj,0,shape_10
13,WEEKDAY,trip_13_35,Kothrud Depot,1,shape_13
10,WEEKDAY,trip_10_33,Katraj,0,shape_10
13,WEEKDAY,trip_13_36,Kothrud Depot,1,shape_13
10,WEEKDAY,trip_10_34,Katraj,0,shape_10
13,WEEKDAY,trip_13_37,Kothrud Depot,1,shape_13
10,WEEKDAY,trip_10_35,Katraj,0,shape_10
