stop_id,total_trips,stop_name,stop_lat,stop_lon,nearest_poi_name,nearest_poi_type,nearest_poi_distance_m
8240,10,Ganj Peth,18.5091,73.862099,Bora Hospital,hospital,245.9
8241,10,Mominpura,18.5061,73.862297,dental health care,hospital,34.0
7771,10,Kamala Nehru Hospital,18.5226,73.862198,KAMLA NEHRU HOSPITAL,hospital,41.7
8236,10,Kamala Nehru Hospital,18.522499,73.862,KAMLA NEHRU HOSPITAL,hospital,49.3
8237,10,Gavkos Maruti,18.5203,73.864098,Dhanwantari Hospital,hospital,212.4
8238,10,Govind Halwai Chowk,18.513,73.861801,Bora Hospital,hospital,187.5
8239,10,Kasture Chowk,18.511299,73.8619,Bora Hospital,hospital,70.7
106874,10,Mahila Mandal,18.4992493412638,73.850928402901,Chaitanya Stem Cell Center,hospital,101.9
4059,10,Dashbhuja Ganpati,18.4883,73.846603,Shraddha Hospital,hospital,299.1
2642,10,Whaghale Phata,18.7533220600629,74.2385888099671,Narwade Hospital,hospital,215.1
2643,10,Ranjangaon,18.7550135681439,74.2445755004883,Narwade Hospital,hospital,460.2
2759,10,Malthan Phata,18.700016,74.144402,"Surya Hospital, Shikrapur",hospital,412.3
4063,10,Chintamani Society,18.4862,73.845802,Dr.Purohit Nursing Home,hospital,484.9
4064,10,Dashbhuja Ganpati,18.488001,73.846497,Shraddha Hospital,hospital,329.1
7749,10,Mahila Mandal,18.4993816091099,73.8505851541124,Chaitanya Stem Cell Center,hospital,73.3
106797,10,Khadki Railway Station,18.561686196584,73.8409245450317,Ordnance Factory Hospital,hospital,385.4
6022,10,Phuljai Chowk,18.648199,73.751198,Flora Hospital,hospital,427.4
7226,10,Adarsh Nagar,18.664801,73.7397,Varad Hospital & Critical Care,hospital,478.8
106463,10,Dandekar Pul Shashtri Road,18.502985868591,73.8452589786906,Colony Nursing Home,hospital,60.7
526,10,Mahadev Mandir Sangvi,18.5760530615525,73.8201306116013,Dr Makan Surgical Maternity and Accident Hospital,hospital,63.9
6166,10,Manik Colony,18.630743015156,73.7905097191837,Brahm Chaitanya Hospital,hospital,438.6
2223,9,St Stand Alandi,18.673401,73.893402,"Shri Sai Hospital, Pune",hospital,184.3
3821,9,Tillekar Manapa Madhyamik Vidhyalay,18.4554,73.884102,Vishwakarma Institute of Technology & Vishwakrma University Main Gate,college,181.2
3822,9,Tillekar Nagar Chowk,18.4548,73.884399,Vishwakarma Institute of Technology & Vishwakrma University Main Gate,college,254.4
3823,9,Tillekar Nagar Chowk,18.4548,73.8843,Vishwakarma Institute of Technology & Vishwakrma University Main Gate,college,249.5
